Etc/UTC,Open,High,Low,Close,Volume
2026-07-31T17:08:00+00:00,28242.375,28250.32,28237.908,28248.243,88220
2026-07-31T17:09:00+00:00,28248.409,28255.587,28243.165,28252.099,87560
2026-07-31T17:10:00+00:00,28251.899,28267.143,28240.721,28258.154,88440
2026-07-31T17:11:00+00:00,28259.197,28277.719,28258.62,28275.108,86020
2026-07-31T17:12:00+00:00,28275.499,28283.797,28274.875,28276.864,82720
2026-07-31T17:13:00+00:00,28277.154,28279.989,28271.242,28274.208,80520
2026-07-31T17:14:00+00:00,28274.042,28279.865,28268.187,28275.897,81400
2026-07-31T17:15:00+00:00,28276.108,28293.531,28271.619,28284.342,82500
2026-07-31T17:16:00+00:00,28285.376,28295.221,28276.51,28279.62,82940
2026-07-31T17:17:00+00:00,28279.399,28282.219,28272.71,28273.321,79420
2026-07-31T17:18:00+00:00,28273.164,28281.364,28269.109,28275.71,83380
2026-07-31T17:19:00+00:00,28276.099,28293.299,28275.054,28290.909,74580
2026-07-31T17:20:00+00:00,28291.187,28296.176,28289.308,28292.853,79420
2026-07-31T17:21:00+00:00,28292.776,28293.599,28281.71,28282.032,78320
2026-07-31T17:22:00+00:00,28282.376,28286.354,28269.832,28286.089,79860
2026-07-31T17:23:00+00:00,28287.298,28302.575,28285.132,28302.121,78540
2026-07-31T17:24:00+00:00,28302.254,28328.675,28301.364,28326.809,81620
2026-07-31T17:25:00+00:00,28326.387,28337.642,28325.175,28334.376,82280
2026-07-31T17:26:00+00:00,28334.889,28336.532,28323.275,28336.243,82060
2026-07-31T17:27:00+00:00,28337.275,28349.865,28328.132,28328.31,90200
2026-07-31T17:28:00+00:00,28329.154,28342.576,28327.876,28329.631,84480
2026-07-31T17:29:00+00:00,28329.675,28340.889,28328.153,28334.81,86240
2026-07-31T17:30:00+00:00,28335.51,28336.097,28323.821,28328.208,88440
2026-07-31T17:31:00+00:00,28327.687,28340.664,28326.32,28333.621,85580
2026-07-31T17:32:00+00:00,28334.365,28340.153,28322.197,28334.175,85800
2026-07-31T17:33:00+00:00,28334.021,28353.71,28331.832,28353.564,85580
2026-07-31T17:34:00+00:00,28353.698,28357.797,28349.832,28354.642,82060
2026-07-31T17:35:00+00:00,28354.632,28363.243,28348.821,28359.686,84480
2026-07-31T17:36:00+00:00,28359.021,28366.697,28358.586,28362.243,83820
